name,compilation,execution,output,correctness,size,runtime,memory
Sonsing,false,true,true,true,506.9863,265.2356,339.4435
Voltsillam,false,false,false,false,1999.579,208.1371,1514.8906
Voltsillam,true,true,true,false,631.796,1678.8815,1728.5767
Redhold,true,true,true,true,1125.1101,1088.0015,750.5136
Temp,true,true,true,true,1751.4613,1235.7545,974.884
Zamit,false,false,true,false,24.0928,1620.2229,899.6249
Bigtax,false,true,true,true,1724.3277,677.4547,1124.6394
Lotlux,true,false,true,false,1859.5809,480.8417,1152.9275
Sub-Ex,true,true,true,false,1178.598,1572.6695,268.4699
Home Ing,true,true,false,false,1688.7869,676.1181,849.2751
Tresom,true,false,true,true,672.375,1565.3923,1825.0362
Asoka,false,false,true,false,1784.2076,92.2156,1221.5331
Sonair,true,false,false,false,808.8346,713.4799,86.1205
Gembucket,true,false,false,true,148.562,1177.2555,938.8207
Voltsillam,true,false,true,true,1816.4734,663.0149,1962.3381
Alphazap,true,true,true,true,1513.4735,674.782,71.6383
Kanlam,true,false,false,false,1007.4964,849.8432,486.8795
Zamit,true,true,true,false,1072.9632,1903.5786,528.4564
Redhold,false,true,false,true,245.2272,3.7427,79.2301
Mat Lam Tam,false,true,false,false,811.6311,1350.1613,1358.8612
Konklab,true,false,false,true,596.6926,1351.5618,1567.1629
Keylex,true,false,true,false,1832.9767,1907.6466,751.6037
Sonsing,false,false,false,true,1850.0206,40.0361,1513.3131
Biodex,true,true,false,true,63.9303,1817.2624,1612.9539
Opela,false,false,false,true,606.4995,0.9952,1242.794
Solarbreeze,true,true,true,false,698.1623,730.8673,1229.1871
Keylex,false,true,false,true,651.9343,281.5991,502.1948
Stringtough,true,false,false,false,1884.7951,466.1036,1615.8001
Pannier,true,true,true,false,1720.1264,1434.7543,262.5366
Latlux,false,false,false,false,1651.2025,1288.0702,271.4477
Cardify,false,false,false,false,1158.9127,545.4544,1791.4191
Lotlux,true,true,true,true,62.2135,255.992,410.2134
Fix San,true,true,true,true,332.6607,617.9862,1961.0045
Cardguard,true,true,true,false,471.1049,1919.3202,1011.5242
It,true,true,false,true,1401.9661,486.3862,650.3554
Cardguard,true,false,false,true,720.1608,1580.4792,1320.4721
Bitchip,false,true,false,true,1985.0878,1110.8778,976.3076
Konklab,false,true,false,true,337.7518,1243.6008,1963.3202
Kanlam,false,false,false,true,1016.3148,1006.605,988.9415
Zoolab,false,false,false,true,1361.7065,1482.8968,1096.8478
Subin,false,false,true,false,194.6103,987.4959,1390.9681
Latlux,true,true,false,true,1153.7648,144.1963,152.2874
Wrapsafe,true,true,true,false,978.088,1671.6557,1589.8743
Quo Lux,false,true,true,true,1268.8761,1768.1101,56.6033
Flexidy,false,false,true,false,1469.6585,1223.5578,656.2173
Konklab,true,false,true,true,1730.8094,538.016,576.506
Opela,true,true,true,false,334.6679,223.5339,825.5996
Bamity,false,false,false,false,731.2352,405.1875,223.7447
Flowdesk,false,true,false,true,1948.4306,317.8747,1972.4412
Cardify,true,true,false,false,198.1826,1689.0251,542.4286
Stringtough,false,false,false,true,762.6483,1352.4895,1440.9528
Otcom,false,false,false,true,1825.3194,1705.4159,594.4307
Tresom,true,false,true,false,354.8388,1861.6153,505.9385
Y-find,true,false,false,false,86.5901,59.9743,1069.0513
